TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRank	TaxonomicStatus
cyphophthalmi:tid:345	http://cyphophthalmi.lifedesks.org/pages/345	Neogovea kamakusa	cyphophthalmi:tid:337	species	
cyphophthalmi:tid:343	http://cyphophthalmi.lifedesks.org/pages/343	Huitaca ventralis	cyphophthalmi:tid:338	species	
cyphophthalmi:tid:342	http://cyphophthalmi.lifedesks.org/pages/342	Metagovea philipi	cyphophthalmi:tid:339	species	
cyphophthalmi:tid:340	http://cyphophthalmi.lifedesks.org/pages/340	Metagovea disparunguis	cyphophthalmi:tid:339	species	
cyphophthalmi:tid:341	http://cyphophthalmi.lifedesks.org/pages/341	Metagovea oviformis	cyphophthalmi:tid:339	species	
cyphophthalmi:tid:448	http://cyphophthalmi.lifedesks.org/pages/448	Floridogovea americana	cyphophthalmi:tid:353		replaced name
cyphophthalmi:tid:449	http://cyphophthalmi.lifedesks.org/pages/449	Siro americanus	cyphophthalmi:tid:353		basionym
cyphophthalmi:tid:450	http://cyphophthalmi.lifedesks.org/pages/450	Parasiro americanus	cyphophthalmi:tid:353		synonym
cyphophthalmi:tid:353	http://cyphophthalmi.lifedesks.org/pages/353	Metasiro americanus	cyphophthalmi:tid:352	species	
cyphophthalmi:tid:452	http://cyphophthalmi.lifedesks.org/pages/452	Ogovia nasuta	cyphophthalmi:tid:356		basionym
cyphophthalmi:tid:356	http://cyphophthalmi.lifedesks.org/pages/356	Ogovea nasuta	cyphophthalmi:tid:354	species	
cyphophthalmi:tid:453	http://cyphophthalmi.lifedesks.org/pages/453	Ogovia grossa	cyphophthalmi:tid:355		basionym
cyphophthalmi:tid:355	http://cyphophthalmi.lifedesks.org/pages/355	Ogovea grossa	cyphophthalmi:tid:354	species	
cyphophthalmi:tid:357	http://cyphophthalmi.lifedesks.org/pages/357	Ogovea cameroonensis	cyphophthalmi:tid:354	species	
cyphophthalmi:tid:460	http://cyphophthalmi.lifedesks.org/pages/460	Iberosiro distylos	cyphophthalmi:tid:370		
cyphophthalmi:tid:461	http://cyphophthalmi.lifedesks.org/pages/461	Odontosiro lusitanicus	cyphophthalmi:tid:371		
cyphophthalmi:tid:462	http://cyphophthalmi.lifedesks.org/pages/462	Paramiopsalis ramulosus	cyphophthalmi:tid:372		
cyphophthalmi:tid:463	http://cyphophthalmi.lifedesks.org/pages/463	Paramiopsalis eduardoi	cyphophthalmi:tid:372		
